Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL193064,CCc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,6.63
CHEMBL195154,N#Cc1cc(-c2cc(F)c(O)c(F)c2)cc2ccc(O)cc12,6.26
CHEMBL371564,N#Cc1cc(O)c(C#N)c2ccc(-c3ccc(O)c(F)c3)cc12,6.06
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.85
CHEMBL191716,Oc1ccc2cc(-c3cc(F)c(O)c(F)c3)ccc2c1,7.04
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6.4
CHEMBL92335,Cc1cc2c(cc1O)O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,7.46
CHEMBL327471,Cc1cc(O)cc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,7.65
CHEMBL327320,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)c1,9.05
CHEMBL98558,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,7.42
CHEMBL98558,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,8.74
CHEMBL371308,Oc1ccc2c(c1)sc1c3ccccc3n(Cc3ccc(OCCN4CCCC4)cc3)c21,7.57
CHEMBL415864,Oc1ccc(C(=Cc2ccccc2)c2ccc(O)cc2)cc1,6.82
CHEMBL215802,CCCC[C@@]12CCC(=O)C(Br)=C1c1ccc3[nH]nnc3c1C2,5.72
CHEMBL213070,CCCC12CCC(=O)C(Br)=C1c1ccc3[nH]nnc3c1C2,5.48
CHEMBL363412,Oc1ccc2c(c1)sc1c3ccccc3n(Cc3ccc(OCCN4CCCCC4)cc3)c21,7.41
CHEMBL1358,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,8.4
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.89
CHEMBL1254532,Oc1ccc2nc(-c3ccccc3)n(Cc3ccc(OCCN4CCCCC4)cc3)c2c1,6.51
CHEMBL5864206,COCC(F)(F)CN1[C@H](c2ccc(NC3CN(CCCF)C3)cc2OC)c2ccc3[nH]ncc3c2C[C@H]1C,8.43
CHEMBL4751770,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(N(C)C3CN(CCCF)C3)cn2)N1CC(F)(F)F,8.72
CHEMBL377694,CCCC12CCC(=O)C(Br)=C1c1ccc(O)cc1C2,7.1
CHEMBL212419,CC1=C2c3ccc(O)cc3CC2(C(C)C)CCC1=O,5.85
CHEMBL195311,Oc1ccc(-c2ccc3cc(O)ccc3c2)c(Cl)c1,8
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.49
CHEMBL187219,Oc1ccc2c(-c3ccc4c(O)cccc4c3)noc2c1,7.62
CHEMBL5802422,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cnc(OCCNCCCF)c2F)N1CC1(F)CC1,9
CHEMBL5928467,C[C@@H]1Cc2c([nH]c3ccc(F)cc23)[C@@H](c2c(F)cnc(OCCNCCCF)c2F)N1CC1(F)CC1,8.92
CHEMBL5849595,Cc1c(OCCNCCCF)ncc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)CO,9.37
CHEMBL5890760,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)ccc(OCCNCCCF)c2Cl)N1CC(C)(C)C(=O)O,7.89
CHEMBL202738,O=c1c2c(O)cc(O)cc2ncn1-c1cccc(O)c1,4.36
CHEMBL5396127,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cccc(NCCNCCCF)c2)N1CC1(F)COC1,7.47
CHEMBL5399407,COc1ccc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)F,8.68
CHEMBL5933859,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)ccc(OCCNCCCF)c2F)N1CC1(F)COC1,8.8
CHEMBL5933849,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cccc(OCCNCCCF)c2Cl)N1CC(F)(F)F,9.06
CHEMBL5902781,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cc(OCCNCCCF)ccc2Cl)N1CC(F)(F)CO,9
CHEMBL5400637,Cc1c(OCCNCCCF)ccc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)CO,9.11
